8/1/2026,-72.44,,"TST*BAR RAVAL TORONTO ON"
8/5/2026,-142.87,,"COSTCO WHOLESALE #1245 ETOBICOKE ON"
8/7/2026,-38.99,,"NETFLIX.COM 866-579-7172 ON"
8/8/2026,-214.60,,"SQ *LA CARNITA COLLEGE TORONTO ON"
8/10/2026,-56.12,,"PETRO-CANADA 08872 TORONTO ON"
8/11/2026,1240.00,,"PAYMENT - THANK YOU"
8/13/2026,-31.44,,"UBER *EATS TORONTO ON"
8/16/2026,-489.00,,"PORTER AIRLINES TORONTO ON"
8/19/2026,-88.20,,"CANADIAN TIRE #0342 TORONTO ON"
8/21/2026,-27.65,,"SHOPPERS DRUG MART #1194 TORONTO ON"
8/26/2026,-152.30,,"TST-PARALLEL BROTHERS TORONTO ON"
